@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
102,'2025/10/01 22:28:46:462',2,44,0,105,67,0.968932,0.285361,0.225971
103,'2025/10/01 22:28:46:518',2,44,0,105,67,0.968932,0.285361,0.225971
104,'2025/10/01 22:28:46:578',2,44,0,105,67,0.968932,0.285361,0.225971
105,'2025/10/01 22:28:46:642',2,44,0,105,67,0.968932,0.285361,0.225971
106,'2025/10/01 22:28:46:702',2,44,0,105,67,0.968932,0.285361,0.225971
107,'2025/10/01 22:28:46:758',2,45,0,105,67,0.968932,0.285361,0.225971
108,'2025/10/01 22:28:46:819',2,45,0,105,67,0.968932,0.285361,0.225971
109,'2025/10/01 22:28:46:887',2,44,0,105,67,0.968932,0.285361,0.225971
110,'2025/10/01 22:28:46:945',2,45,0,105,67,0.968932,0.285361,0.225971
111,'2025/10/01 22:28:47:015',2,45,0,105,67,0.968932,0.285361,0.225971
112,'2025/10/01 22:28:47:079',2,44,0,105,67,0.968932,0.285361,0.225971
113,'2025/10/01 22:28:47:119',2,44,0,105,67,0.968932,0.285361,0.225971
114,'2025/10/01 22:28:47:188',2,44,0,105,67,0.968932,0.285361,0.225971
115,'2025/10/01 22:28:47:251',2,44,0,105,67,0.968932,0.285361,0.225971
116,'2025/10/01 22:28:47:301',2,44,0,105,68,0.968932,0.285361,0.225971
117,'2025/10/01 22:28:47:380',2,44,0,105,68,0.968932,0.285361,0.225971
118,'2025/10/01 22:28:47:424',2,44,0,105,68,0.968932,0.285361,0.225971
119,'2025/10/01 22:28:47:482',2,44,0,105,68,0.968932,0.285361,0.225971
120,'2025/10/01 22:28:47:546',2,44,0,105,68,0.968932,0.285361,0.225971
121,'2025/10/01 22:28:47:601',2,45,0,105,68,0.968932,0.285361,0.225971
122,'2025/10/01 22:28:47:663',2,45,0,105,68,0.968932,0.285361,0.225971
123,'2025/10/01 22:28:47:732',2,45,0,105,68,0.968932,0.285361,0.225971
124,'2025/10/01 22:28:47:784',2,45,0,105,68,0.968932,0.285361,0.225971
125,'2025/10/01 22:28:47:838',2,45,0,105,68,0.968932,0.285361,0.225971
126,'2025/10/01 22:28:47:899',2,45,0,105,68,0.968932,0.285361,0.225971
127,'2025/10/01 22:28:47:958',2,45,0,105,68,0.968932,0.285361,0.225971
128,'2025/10/01 22:28:48:024',2,45,0,105,68,0.968932,0.285361,0.225971
129,'2025/10/01 22:28:48:083',2,45,0,105,68,0.968932,0.285361,0.225971
130,'2025/10/01 22:28:48:139',2,45,0,105,68,0.968932,0.285361,0.225971
131,'2025/10/01 22:28:48:216',2,44,0,105,68,0.968932,0.285361,0.225971
132,'2025/10/01 22:28:48:265',2,45,0,105,68,0.968932,0.285361,0.225971
133,'2025/10/01 22:28:48:324',2,45,0,105,68,0.968932,0.285361,0.225971
134,'2025/10/01 22:28:48:390',2,44,0,105,68,0.968932,0.285361,0.225971
135,'2025/10/01 22:28:48:440',2,44,0,105,68,0.968932,0.285361,0.225971
136,'2025/10/01 22:28:48:504',2,44,0,105,68,0.968932,0.285361,0.225971
137,'2025/10/01 22:28:48:570',2,44,0,105,68,0.968932,0.285361,0.225971
138,'2025/10/01 22:28:48:619',2,44,0,105,68,0.968932,0.285361,0.225971
139,'2025/10/01 22:28:48:685',2,44,0,105,67,0.968932,0.285361,0.225971
140,'2025/10/01 22:28:48:739',2,44,0,105,67,0.968932,0.285361,0.225971
141,'2025/10/01 22:28:48:802',2,44,0,105,67,0.968932,0.285361,0.225971
142,'2025/10/01 22:28:48:859',2,44,0,105,67,0.968932,0.285361,0.225971
143,'2025/10/01 22:28:48:929',2,44,0,105,67,0.968932,0.285361,0.225971
144,'2025/10/01 22:28:48:983',2,44,0,105,67,0.968932,0.285361,0.225971
145,'2025/10/01 22:28:49:050',2,44,0,105,67,0.968932,0.285361,0.225971
146,'2025/10/01 22:28:49:100',2,44,0,105,67,0.968932,0.285361,0.225971
147,'2025/10/01 22:28:49:168',2,44,0,105,67,0.968932,0.285361,0.225971
148,'2025/10/01 22:28:49:218',2,44,0,105,67,0.968932,0.285361,0.225971
149,'2025/10/01 22:28:49:286',2,43,0,105,67,0.968932,0.285361,0.225971
150,'2025/10/01 22:28:49:339',2,44,0,105,67,0.968932,0.285361,0.225971
151,'2025/10/01 22:28:49:404',2,44,0,105,67,0.968932,0.285361,0.225971
152,'2025/10/01 22:28:49:467',2,44,0,105,67,0.968932,0.285361,0.225971
153,'2025/10/01 22:28:49:519',2,45,0,105,67,0.968932,0.285361,0.225971
154,'2025/10/01 22:28:49:598',2,45,0,105,67,0.968932,0.285361,0.225971
155,'2025/10/01 22:28:49:649',2,45,0,105,67,0.968932,0.285361,0.225971
156,'2025/10/01 22:28:49:698',2,45,0,105,67,0.968932,0.285361,0.225971
157,'2025/10/01 22:28:49:763',2,45,0,105,67,0.968932,0.285361,0.225971
158,'2025/10/01 22:28:49:824',2,45,0,105,67,0.968932,0.285361,0.225971
159,'2025/10/01 22:28:49:887',2,45,0,105,67,0.968932,0.285361,0.225971
160,'2025/10/01 22:28:49:959',2,45,0,105,67,0.968932,0.285361,0.225971
161,'2025/10/01 22:28:50:004',2,44,0,105,67,0.968932,0.285361,0.225971
162,'2025/10/01 22:28:50:065',2,44,0,105,67,0.968932,0.285361,0.225971
163,'2025/10/01 22:28:50:125',2,44,0,105,67,0.968932,0.285361,0.225971
164,'2025/10/01 22:28:50:198',2,44,0,105,67,0.968932,0.285361,0.225971
165,'2025/10/01 22:28:50:238',2,44,0,105,67,0.968932,0.285361,0.225971
166,'2025/10/01 22:28:50:309',2,44,0,105,67,0.968932,0.285361,0.225971
167,'2025/10/01 22:28:50:364',2,44,0,105,68,0.968932,0.285361,0.225971
168,'2025/10/01 22:28:50:419',2,44,0,105,68,0.968932,0.285361,0.225971
169,'2025/10/01 22:28:50:494',2,45,0,105,68,0.968932,0.285361,0.225971
170,'2025/10/01 22:28:50:538',2,45,0,105,68,0.968932,0.285361,0.225971
171,'2025/10/01 22:28:50:607',2,45,0,105,68,0.968932,0.285361,0.225971
172,'2025/10/01 22:28:50:660',2,44,0,105,68,0.968932,0.285361,0.225971
173,'2025/10/01 22:28:50:728',2,44,0,105,68,0.968932,0.285361,0.225971
174,'2025/10/01 22:28:50:779',2,44,0,105,68,0.968932,0.285361,0.225971
175,'2025/10/01 22:28:50:846',2,44,0,105,68,0.968932,0.285361,0.225971
176,'2025/10/01 22:28:50:898',2,44,0,105,68,0.968932,0.285361,0.225971
177,'2025/10/01 22:28:50:968',2,44,0,105,68,0.968932,0.285361,0.225971
178,'2025/10/01 22:28:51:033',2,44,0,105,68,0.968932,0.285361,0.225971
179,'2025/10/01 22:28:51:083',2,44,0,105,68,0.968932,0.285361,0.225971
180,'2025/10/01 22:28:51:139',2,44,0,105,68,0.968932,0.285361,0.225971
181,'2025/10/01 22:28:58:737',3,45,0,102,65,0.933227,0.560459,0.791331
182,'2025/10/01 22:28:58:794',3,45,0,97,65,0.933227,0.560459,0.791331
183,'2025/10/01 22:28:58:885',3,45,0,102,67,0.933227,0.560459,0.791331
184,'2025/10/01 22:28:58:962',3,46,0,102,67,0.933227,0.560459,0.791331
185,'2025/10/01 22:28:59:006',3,46,0,102,64,0.933227,0.560459,0.791331
186,'2025/10/01 22:28:59:084',3,46,0,102,63,0.933227,0.560459,0.791331
187,'2025/10/01 22:28:59:134',3,47,0,102,63,0.933227,0.560459,0.791331
188,'2025/10/01 22:28:59:185',3,46,0,102,63,0.933227,0.560459,0.791331
189,'2025/10/01 22:28:59:263',3,46,0,102,65,0.933227,0.560459,0.791331
190,'2025/10/01 22:28:59:318',3,46,0,101,63,0.933227,0.560459,0.791331
191,'2025/10/01 22:28:59:373',3,45,0,102,63,0.933227,0.560459,0.791331
192,'2025/10/01 22:28:59:430',3,46,0,102,63,0.933227,0.560459,0.791331
193,'2025/10/01 22:28:59:491',3,45,0,101,64,0.933227,0.560459,0.791331
194,'2025/10/01 22:28:59:547',3,46,0,101,64,0.933227,0.560459,0.791331
195,'2025/10/01 22:28:59:614',3,45,0,98,42,0.933227,0.560459,0.791331
196,'2025/10/01 22:28:59:665',3,45,0,98,41,0.933227,0.560459,0.791331
197,'2025/10/01 22:28:59:731',3,45,0,99,41,0.933227,0.560459,0.791331
198,'2025/10/01 22:28:59:785',3,45,0,99,43,0.933227,0.560459,0.791331
199,'2025/10/01 22:28:59:846',3,46,0,100,46,0.933227,0.560459,0.791331
200,'2025/10/01 22:28:59:911',3,51,0,100,63,0.933227,0.560459,0.791331
201,'2025/10/01 22:28:59:980',3,52,0,101,66,0.933227,0.560459,0.791331
202,'2025/10/01 22:29:00:027',3,47,0,102,61,0.933227,0.560459,0.791331
203,'2025/10/01 22:29:00:088',3,48,0,102,27,0.933227,0.560459,0.791331
204,'2025/10/01 22:29:00:164',3,48,0,102,58,0.933227,0.560459,0.791331
205,'2025/10/01 22:29:00:208',3,48,0,103,62,0.933227,0.560459,0.791331
206,'2025/10/01 22:29:00:278',3,48,0,103,57,0.933227,0.560459,0.791331
207,'2025/10/01 22:29:00:331',3,53,0,100,27,0.933227,0.560459,0.791331
208,'2025/10/01 22:29:00:393',3,53,0,108,32,0.933227,0.560459,0.791331
209,'2025/10/01 22:29:00:448',3,52,0,108,32,0.933227,0.560459,0.791331
210,'2025/10/01 22:29:00:514',3,52,0,108,43,0.933227,0.560459,0.791331
211,'2025/10/01 22:29:00:579',3,52,0,108,43,0.933227,0.560459,0.791331
212,'2025/10/01 22:29:00:645',3,52,0,108,44,0.933227,0.560459,0.791331
213,'2025/10/01 22:29:00:696',3,52,0,108,44,0.933227,0.560459,0.791331
214,'2025/10/01 22:29:00:765',3,51,0,108,44,0.933227,0.560459,0.791331
215,'2025/10/01 22:29:00:807',3,51,0,108,44,0.933227,0.560459,0.791331
216,'2025/10/01 22:29:00:871',3,53,0,108,43,0.933227,0.560459,0.791331
217,'2025/10/01 22:29:00:931',3,52,0,108,43,0.933227,0.560459,0.791331
218,'2025/10/01 22:29:00:988',3,52,0,108,43,0.933227,0.560459,0.791331
219,'2025/10/01 22:29:01:051',3,52,0,107,42,0.933227,0.560459,0.791331
220,'2025/10/01 22:29:01:114',3,51,0,106,42,0.933227,0.560459,0.791331
221,'2025/10/01 22:29:01:165',3,47,0,106,42,0.933227,0.560459,0.791331
222,'2025/10/01 22:29:01:234',3,46,0,106,42,0.933227,0.560459,0.791331
223,'2025/10/01 22:29:01:286',3,46,0,106,42,0.933227,0.560459,0.791331
224,'2025/10/01 22:29:01:350',3,47,0,107,42,0.933227,0.560459,0.791331
225,'2025/10/01 22:29:01:415',3,46,0,107,62,0.933227,0.560459,0.791331
226,'2025/10/01 22:29:01:468',3,46,0,107,64,0.933227,0.560459,0.791331
227,'2025/10/01 22:29:01:530',3,47,0,108,62,0.933227,0.560459,0.791331
228,'2025/10/01 22:29:01:585',3,46,0,108,62,0.933227,0.560459,0.791331
229,'2025/10/01 22:29:01:649',3,46,0,108,62,0.933227,0.560459,0.791331
230,'2025/10/01 22:29:01:715',3,46,0,107,58,0.933227,0.560459,0.791331
231,'2025/10/01 22:29:01:767',3,46,0,107,58,0.933227,0.560459,0.791331
232,'2025/10/01 22:29:01:830',3,46,0,107,62,0.933227,0.560459,0.791331
233,'2025/10/01 22:29:01:886',3,47,0,107,62,0.933227,0.560459,0.791331
234,'2025/10/01 22:29:01:960',3,46,0,107,64,0.933227,0.560459,0.791331
235,'2025/10/01 22:29:02:012',3,46,0,108,59,0.933227,0.560459,0.791331
236,'2025/10/01 22:29:02:083',3,47,0,107,59,0.933227,0.560459,0.791331
237,'2025/10/01 22:29:02:153',3,47,0,107,59,0.933227,0.560459,0.791331
238,'2025/10/01 22:29:02:217',3,46,0,106,64,0.933227,0.560459,0.791331
239,'2025/10/01 22:29:02:272',3,46,0,105,59,0.933227,0.560459,0.791331
240,'2025/10/01 22:29:02:335',3,47,0,105,64,0.933227,0.560459,0.791331
241,'2025/10/01 22:29:02:402',3,46,0,106,63,0.933227,0.560459,0.791331
242,'2025/10/01 22:29:02:457',3,46,0,106,63,0.933227,0.560459,0.791331
243,'2025/10/01 22:29:02:529',3,47,0,107,60,0.933227,0.560459,0.791331
244,'2025/10/01 22:29:02:583',3,47,0,107,60,0.933227,0.560459,0.791331
245,'2025/10/01 22:29:02:632',3,46,0,107,60,0.933227,0.560459,0.791331
246,'2025/10/01 22:29:02:704',3,47,0,107,60,0.933227,0.560459,0.791331
247,'2025/10/01 22:29:02:772',3,48,0,108,57,0.933227,0.560459,0.791331
248,'2025/10/01 22:29:02:816',3,52,0,108,57,0.933227,0.560459,0.791331
249,'2025/10/01 22:29:02:883',3,53,0,109,66,0.933227,0.560459,0.791331
250,'2025/10/01 22:29:02:942',3,53,0,109,66,0.933227,0.560459,0.791331
251,'2025/10/01 22:29:02:999',3,51,0,109,66,0.933227,0.560459,0.791331
252,'2025/10/01 22:29:03:054',3,51,0,109,66,0.933227,0.560459,0.791331
